fecha,equipo,elo,torneo
2010-07-24,Mineros,1465.32,2010/2011 - Apertura
2010-07-24,Cruz Azul,1534.68,2010/2011 - Apertura
2010-07-24,Chiapas,1495.52,2010/2011 - Apertura
2010-07-24,Necaxa,1504.48,2010/2011 - Apertura
2010-07-25,Chivas,1495.52,2010/2011 - Apertura
2010-07-25,Puebla,1504.48,2010/2011 - Apertura
2010-07-25,Pachuca,1519.5,2010/2011 - Apertura
2010-07-25,América,1480.5,2010/2011 - Apertura
2010-07-25,Tigres,1472.42,2010/2011 - Apertura
2010-07-25,Querétaro,1527.58,2010/2011 - Apertura
2010-07-25,San Luis,1495.52,2010/2011 - Apertura
2010-07-25,Monterrey,1504.48,2010/2011 - Apertura
2010-07-25,Atlante,1465.32,2010/2011 - Apertura
2010-07-25,Santos Laguna,1534.68,2010/2011 - Apertura
2010-07-25,Morelia,1515.51,2010/2011 - Apertura
2010-07-25,Atlas,1484.49,2010/2011 - Apertura
2010-07-25,Pumas,1515.51,2010/2011 - Apertura
2010-07-25,Toluca,1484.49,2010/2011 - Apertura
2010-07-31,Necaxa,1470.7,2010/2011 - Apertura
2010-07-31,Tigres,1506.2,2010/2011 - Apertura
2010-07-31,Cruz Azul,1548.26,2010/2011 - Apertura
2010-07-31,Atlante,1451.74,2010/2011 - Apertura
2010-07-31,Querétaro,1540.72,2010/2011 - Apertura
2010-07-31,Atlas,1471.35,2010/2011 - Apertura
2010-08-01,Monterrey,1517.83,2010/2011 - Apertura
2010-08-01,Mineros,1451.97,2010/2011 - Apertura
2010-08-01,Santos Laguna,1554.02,2010/2011 - Apertura
2010-08-01,Pumas,1496.17,2010/2011 - Apertura
2010-08-01,Puebla,1519.48,2010/2011 - Apertura
2010-08-01,San Luis,1480.52,2010/2011 - Apertura
2010-08-01,Toluca,1481.53,2010/2011 - Apertura
2010-08-01,Pachuca,1522.46,2010/2011 - Apertura
2010-08-01,América,1501.09,2010/2011 - Apertura
2010-08-01,Chiapas,1474.93,2010/2011 - Apertura
2010-08-07,Chiapas,1470.73,2010/2011 - Apertura
2010-08-07,Toluca,1485.73,2010/2011 - Apertura
2010-08-08,Pachuca,1490.1,2010/2011 - Apertura
2010-08-08,Santos Laguna,1586.38,2010/2011 - Apertura
2010-08-08,Tigres,1501.5,2010/2011 - Apertura
2010-08-08,América,1505.79,2010/2011 - Apertura
2010-08-08,Atlas,1443.73,2010/2011 - Apertura
2010-08-08,Necaxa,1498.32,2010/2011 - Apertura
2010-08-08,San Luis,1453.81,2010/2011 - Apertura
2010-08-08,Chivas,1522.23,2010/2011 - Apertura
2010-08-08,Atlante,1428.1,2010/2011 - Apertura
2010-08-08,Monterrey,1541.47,2010/2011 - Apertura
2010-08-08,Morelia,1540.39,2010/2011 - Apertura
2010-08-08,Querétaro,1515.84,2010/2011 - Apertura
