equipo,elo,fecha,liga
M'gladbach,1498.19,2021-08-13,bundesliga
Bayern Munich,1501.81,2021-08-13,bundesliga
Augsburg,1490.18,2021-08-14,bundesliga
Hoffenheim,1509.82,2021-08-14,bundesliga
Bielefeld,1498.19,2021-08-14,bundesliga
Freiburg,1501.81,2021-08-14,bundesliga
Stuttgart,1506.2,2021-08-14,bundesliga
Greuther Furth,1493.8,2021-08-14,bundesliga
Union Berlin,1498.19,2021-08-14,bundesliga
Leverkusen,1501.81,2021-08-14,bundesliga
Wolfsburg,1506.2,2021-08-14,bundesliga
Bochum,1493.8,2021-08-14,bundesliga
Dortmund,1506.2,2021-08-14,bundesliga
Ein Frankfurt,1493.8,2021-08-14,bundesliga
Mainz,1506.2,2021-08-15,bundesliga
RB Leipzig,1493.8,2021-08-15,bundesliga
FC Koln,1506.2,2021-08-15,bundesliga
Hertha,1493.8,2021-08-15,bundesliga
RB Leipzig,1500.31,2021-08-20,bundesliga
Stuttgart,1499.68,2021-08-20,bundesliga
Leverkusen,1507.98,2021-08-21,bundesliga
M'gladbach,1492.02,2021-08-21,bundesliga
Hertha,1484.17,2021-08-21,bundesliga
Wolfsburg,1515.82,2021-08-21,bundesliga
Greuther Furth,1492.07,2021-08-21,bundesliga
Bielefeld,1499.92,2021-08-21,bundesliga
Bochum,1500.33,2021-08-21,bundesliga
Mainz,1499.68,2021-08-21,bundesliga
Ein Frankfurt,1491.9,2021-08-21,bundesliga
Augsburg,1492.09,2021-08-21,bundesliga
Freiburg,1508.16,2021-08-21,bundesliga
Dortmund,1499.85,2021-08-21,bundesliga
Hoffenheim,1507.74,2021-08-22,bundesliga
Union Berlin,1500.27,2021-08-22,bundesliga
Bayern Munich,1508.16,2021-08-22,bundesliga
FC Koln,1499.85,2021-08-22,bundesliga
Dortmund,1506.32,2021-08-27,bundesliga
Hoffenheim,1501.27,2021-08-27,bundesliga
Stuttgart,1489.89,2021-08-28,bundesliga
Freiburg,1517.95,2021-08-28,bundesliga
Mainz,1505.81,2021-08-28,bundesliga
Greuther Furth,1485.94,2021-08-28,bundesliga
Bayern Munich,1513.94,2021-08-28,bundesliga
Hertha,1478.4,2021-08-28,bundesliga
Bielefeld,1497.9,2021-08-28,bundesliga
Ein Frankfurt,1493.92,2021-08-28,bundesliga
Augsburg,1482.46,2021-08-28,bundesliga
Leverkusen,1517.61,2021-08-28,bundesliga
FC Koln,1506.16,2021-08-28,bundesliga
Bochum,1494.02,2021-08-28,bundesliga
Union Berlin,1506.39,2021-08-29,bundesliga
M'gladbach,1485.9,2021-08-29,bundesliga
Wolfsburg,1521.79,2021-08-29,bundesliga
RB Leipzig,1494.35,2021-08-29,bundesliga
Freiburg,1515.81,2021-09-11,bundesliga
FC Koln,1508.3,2021-09-11,bundesliga
Greuther Furth,1476.63,2021-09-11,bundesliga
Wolfsburg,1531.1,2021-09-11,bundesliga
Hoffenheim,1491.23,2021-09-11,bundesliga
Mainz,1515.85,2021-09-11,bundesliga
Leverkusen,1507.21,2021-09-11,bundesliga
Dortmund,1516.72,2021-09-11,bundesliga
