equipo,elo,fecha,liga
Bayern München (W),1508.0,2026-04-01,champions
Manchester United (W),1492.0,2026-04-01,champions
Chelsea (W),1508.0,2026-04-01,champions
Arsenal (W),1492.0,2026-04-01,champions
Barcelona (W),1509.45,2026-04-02,champions
Real Madrid (W),1490.55,2026-04-02,champions
OL Lyonnes (W),1509.45,2026-04-02,champions
VfL Wolfsburg (W),1490.55,2026-04-02,champions
Real Madrid,1483.27,2026-04-07,champions
Bayern München,1516.73,2026-04-07,champions
Sporting CP,1483.27,2026-04-07,champions
Arsenal,1516.73,2026-04-07,champions
Barcelona,1481.82,2026-04-08,champions
Atletico de Madrid,1518.18,2026-04-08,champions
Paris Saint-Germain,1518.18,2026-04-08,champions
Liverpool,1481.82,2026-04-08,champions
Gamba Osaka,1481.82,2026-04-08,champions
Bangkok United,1518.18,2026-04-08,champions
FAR Rabat,1522.55,2026-04-11,champions
RSB Berkane,1477.45,2026-04-11,champions
Espérance,1476.0,2026-04-12,champions
Mamelodi Sundowns FC,1524.0,2026-04-12,champions
