equipo,elo,fecha,liga
Valencia,1506.19,2021-08-13,laliga
Getafe,1493.81,2021-08-13,laliga
Cadiz,1498.19,2021-08-14,laliga
Levante,1501.81,2021-08-14,laliga
Mallorca,1498.19,2021-08-14,laliga
Betis,1501.81,2021-08-14,laliga
Alaves,1490.18,2021-08-14,laliga
Real Madrid,1509.82,2021-08-14,laliga
Osasuna,1498.19,2021-08-14,laliga
Espanol,1501.81,2021-08-14,laliga
Celta,1490.17,2021-08-15,laliga
Ath Madrid,1509.83,2021-08-15,laliga
Barcelona,1506.2,2021-08-15,laliga
Sociedad,1493.8,2021-08-15,laliga
Sevilla,1506.2,2021-08-15,laliga
Vallecano,1493.8,2021-08-15,laliga
Villarreal,1498.18,2021-08-16,laliga
Granada,1501.82,2021-08-16,laliga
Elche,1498.18,2021-08-16,laliga
Ath Bilbao,1501.82,2021-08-16,laliga
Betis,1499.91,2021-08-20,laliga
Cadiz,1500.09,2021-08-20,laliga
Ath Bilbao,1500.09,2021-08-21,laliga
Barcelona,1507.93,2021-08-21,laliga
Granada,1500.09,2021-08-21,laliga
Valencia,1507.92,2021-08-21,laliga
Alaves,1480.45,2021-08-21,laliga
Mallorca,1507.91,2021-08-21,laliga
Espanol,1499.91,2021-08-21,laliga
Villarreal,1500.09,2021-08-21,laliga
Sociedad,1500.05,2021-08-22,laliga
Vallecano,1487.54,2021-08-22,laliga
Ath Madrid,1515.83,2021-08-22,laliga
Elche,1492.18,2021-08-22,laliga
Levante,1500.16,2021-08-22,laliga
Real Madrid,1511.47,2021-08-22,laliga
Getafe,1484.16,2021-08-23,laliga
Sevilla,1515.85,2021-08-23,laliga
Osasuna,1496.18,2021-08-23,laliga
Celta,1492.17,2021-08-23,laliga
Mallorca,1514.03,2021-08-27,laliga
Espanol,1493.79,2021-08-27,laliga
Valencia,1513.61,2021-08-27,laliga
Alaves,1474.76,2021-08-27,laliga
Celta,1482.37,2021-08-28,laliga
Ath Bilbao,1509.89,2021-08-28,laliga
Elche,1490.87,2021-08-28,laliga
Sevilla,1517.16,2021-08-28,laliga
Sociedad,1506.35,2021-08-28,laliga
Levante,1493.86,2021-08-28,laliga
Betis,1490.18,2021-08-28,laliga
Real Madrid,1521.2,2021-08-28,laliga
Ath Madrid,1513.64,2021-08-29,laliga
Villarreal,1502.28,2021-08-29,laliga
Vallecano,1494.13,2021-08-29,laliga
Granada,1493.5,2021-08-29,laliga
Cadiz,1490.01,2021-08-29,laliga
Osasuna,1506.26,2021-08-29,laliga
Barcelona,1513.72,2021-08-29,laliga
Getafe,1478.38,2021-08-29,laliga
Levante,1491.99,2021-09-11,laliga
Vallecano,1495.99,2021-09-11,laliga
Ath Bilbao,1516.39,2021-09-11,laliga
Mallorca,1507.53,2021-09-11,laliga
Espanol,1484.09,2021-09-12,laliga
Ath Madrid,1523.34,2021-09-12,laliga
Osasuna,1496.27,2021-09-12,laliga
Valencia,1523.6,2021-09-12,laliga
Cadiz,1480.23,2021-09-12,laliga
Sociedad,1516.13,2021-09-12,laliga
Real Madrid,1526.75,2021-09-12,laliga
Celta,1476.81,2021-09-12,laliga
Getafe,1468.49,2021-09-13,laliga
Elche,1500.76,2021-09-13,laliga
Granada,1483.26,2021-09-13,laliga
Betis,1500.43,2021-09-13,laliga
Celta,1466.68,2021-09-17,laliga
Cadiz,1490.36,2021-09-17,laliga
Elche,1498.67,2021-09-18,laliga
Levante,1494.08,2021-09-18,laliga
Alaves,1465.03,2021-09-18,laliga
Osasuna,1506.0,2021-09-18,laliga
Vallecano,1501.83,2021-09-18,laliga
Getafe,1462.66,2021-09-18,laliga
Ath Madrid,1521.3,2021-09-18,laliga
Ath Bilbao,1518.43,2021-09-18,laliga
Mallorca,1505.52,2021-09-19,laliga
Villarreal,1504.29,2021-09-19,laliga
Sociedad,1514.27,2021-09-19,laliga
Sevilla,1519.03,2021-09-19,laliga
Betis,1498.17,2021-09-19,laliga
Espanol,1486.35,2021-09-19,laliga
