equipo,elo,fecha,liga
Deportivo La Guaira,1500.0,2026-04-07,libertadores
Fluminense,1500.0,2026-04-07,libertadores
Independiente Rivadavia,1508.0,2026-04-07,libertadores
Bolivar,1492.0,2026-04-07,libertadores
Tolima,1500.0,2026-04-08,libertadores
Universitario de Deportes,1500.0,2026-04-08,libertadores
Coquimbo Unido,1500.0,2026-04-08,libertadores
Nacional,1500.0,2026-04-08,libertadores
Barcelona SC,1486.67,2026-04-08,libertadores
Cruzeiro,1513.33,2026-04-08,libertadores
Universidad Catolica,1486.67,2026-04-08,libertadores
Boca Juniors,1513.33,2026-04-08,libertadores
Always Ready,1486.67,2026-04-08,libertadores
LDU de Quito,1513.33,2026-04-08,libertadores
Mirassol,1513.33,2026-04-08,libertadores
Lanus,1486.67,2026-04-08,libertadores
Independiente Medellin,1500.0,2026-04-09,libertadores
Estudiantes,1500.0,2026-04-09,libertadores
Cusco FC,1481.33,2026-04-09,libertadores
Flamengo,1518.67,2026-04-09,libertadores
Junior FC,1500.0,2026-04-09,libertadores
Palmeiras,1500.0,2026-04-09,libertadores
Sporting Cristal,1518.67,2026-04-09,libertadores
Cerro Porteno,1481.33,2026-04-09,libertadores
Rosario Central,1500.0,2026-04-09,libertadores
Independiente del Valle,1500.0,2026-04-09,libertadores
Universidad Central,1518.67,2026-04-09,libertadores
Libertad,1481.33,2026-04-09,libertadores
Club Atletico Platense,1476.0,2026-04-10,libertadores
Corinthians,1524.0,2026-04-10,libertadores
Santa Fe,1500.0,2026-04-10,libertadores
Peñarol,1500.0,2026-04-10,libertadores
