equipo,elo,fecha,liga
Monaco,1498.19,2021-08-06,ligue1
Nantes,1501.81,2021-08-06,ligue1
Lyon,1498.19,2021-08-07,ligue1
Brest,1501.81,2021-08-07,ligue1
Troyes,1490.18,2021-08-07,ligue1
Paris Saint-Germain,1509.82,2021-08-07,ligue1
Rennes,1498.19,2021-08-08,ligue1
Lens,1501.81,2021-08-08,ligue1
Bordeaux,1490.17,2021-08-08,ligue1
Clermont,1509.83,2021-08-08,ligue1
Nice,1498.19,2021-08-08,ligue1
Reims,1501.81,2021-08-08,ligue1
St Etienne,1498.19,2021-08-08,ligue1
Lorient,1501.81,2021-08-08,ligue1
Strasbourg,1490.17,2021-08-08,ligue1
Angers,1509.83,2021-08-08,ligue1
Metz,1498.19,2021-08-08,ligue1
Lille,1501.81,2021-08-08,ligue1
Montpellier,1490.17,2021-08-08,ligue1
Marseille,1509.83,2021-08-08,ligue1
Lorient,1507.98,2021-08-13,ligue1
Monaco,1492.03,2021-08-13,ligue1
Paris Saint-Germain,1515.64,2021-08-14,ligue1
Strasbourg,1484.35,2021-08-14,ligue1
Lille,1491.83,2021-08-14,ligue1
Nice,1508.17,2021-08-14,ligue1
Angers,1515.83,2021-08-15,ligue1
Lyon,1492.19,2021-08-15,ligue1
Brest,1499.9,2021-08-15,ligue1
Rennes,1500.09,2021-08-15,ligue1
Clermont,1515.66,2021-08-15,ligue1
Troyes,1484.35,2021-08-15,ligue1
Nantes,1507.99,2021-08-15,ligue1
Metz,1492.01,2021-08-15,ligue1
Reims,1499.73,2021-08-15,ligue1
Montpellier,1492.25,2021-08-15,ligue1
Lens,1499.91,2021-08-15,ligue1
St Etienne,1500.09,2021-08-15,ligue1
Marseille,1507.58,2021-08-15,ligue1
Bordeaux,1492.42,2021-08-15,ligue1
Brest,1490.29,2021-08-20,ligue1
Paris Saint-Germain,1525.26,2021-08-20,ligue1
Monaco,1482.22,2021-08-21,ligue1
Lens,1509.71,2021-08-21,ligue1
St Etienne,1498.07,2021-08-21,ligue1
Lille,1493.86,2021-08-21,ligue1
Strasbourg,1482.5,2021-08-22,ligue1
Troyes,1486.2,2021-08-22,ligue1
Rennes,1506.58,2021-08-22,ligue1
Nantes,1501.5,2021-08-22,ligue1
Montpellier,1498.91,2021-08-22,ligue1
Lorient,1501.32,2021-08-22,ligue1
Metz,1490.34,2021-08-22,ligue1
Reims,1501.4,2021-08-22,ligue1
Bordeaux,1491.11,2021-08-22,ligue1
Angers,1517.15,2021-08-22,ligue1
Lyon,1490.87,2021-08-22,ligue1
Clermont,1516.97,2021-08-22,ligue1
Nantes,1491.22,2021-08-27,ligue1
Lyon,1501.16,2021-08-27,ligue1
