equipo,elo,fecha,liga
Inter Milan,1506.19,2021-08-21,seriea
Genoa,1493.81,2021-08-21,seriea
Verona,1490.19,2021-08-21,seriea
Sassuolo,1509.81,2021-08-21,seriea
Empoli,1490.19,2021-08-21,seriea
Lazio,1509.81,2021-08-21,seriea
Torino,1490.19,2021-08-21,seriea
Atalanta,1509.81,2021-08-21,seriea
Bologna,1506.2,2021-08-22,seriea
Salernitana,1493.8,2021-08-22,seriea
Udinese,1498.19,2021-08-22,seriea
Juventus,1501.81,2021-08-22,seriea
Napoli,1506.2,2021-08-22,seriea
Venezia,1493.8,2021-08-22,seriea
Roma,1506.2,2021-08-22,seriea
Fiorentina,1493.8,2021-08-22,seriea
Cagliari,1498.19,2021-08-23,seriea
Spezia,1501.81,2021-08-23,seriea
Sampdoria,1490.17,2021-08-23,seriea
Milan,1509.83,2021-08-23,seriea
Udinese,1504.32,2021-08-27,seriea
Venezia,1487.67,2021-08-27,seriea
Verona,1480.67,2021-08-27,seriea
Inter Milan,1515.71,2021-08-27,seriea
Juventus,1491.67,2021-08-28,seriea
Empoli,1500.33,2021-08-28,seriea
Fiorentina,1499.96,2021-08-28,seriea
Torino,1484.03,2021-08-28,seriea
Atalanta,1507.91,2021-08-28,seriea
Bologna,1508.1,2021-08-28,seriea
Lazio,1515.88,2021-08-28,seriea
Spezia,1495.75,2021-08-28,seriea
Genoa,1484.18,2021-08-29,seriea
Napoli,1515.82,2021-08-29,seriea
Sassuolo,1507.56,2021-08-29,seriea
Sampdoria,1492.42,2021-08-29,seriea
Milan,1515.83,2021-08-29,seriea
Cagliari,1492.19,2021-08-29,seriea
Salernitana,1484.18,2021-08-29,seriea
Roma,1515.82,2021-08-29,seriea
Empoli,1490.0,2021-09-11,seriea
Venezia,1498.0,2021-09-11,seriea
Napoli,1521.64,2021-09-11,seriea
Juventus,1485.86,2021-09-11,seriea
Atalanta,1497.68,2021-09-11,seriea
Fiorentina,1510.19,2021-09-11,seriea
Roma,1521.99,2021-09-12,seriea
Sassuolo,1501.39,2021-09-12,seriea
Torino,1490.38,2021-09-12,seriea
Salernitana,1477.82,2021-09-12,seriea
Milan,1522.18,2021-09-12,seriea
Lazio,1509.52,2021-09-12,seriea
Cagliari,1481.95,2021-09-12,seriea
Genoa,1494.43,2021-09-12,seriea
Sampdoria,1491.09,2021-09-12,seriea
Inter Milan,1517.04,2021-09-12,seriea
Spezia,1485.88,2021-09-12,seriea
Udinese,1514.2,2021-09-12,seriea
