id,nombre,equipo,equipo_id,posicion,edad,nacionalidad,pais_cod,altura_cm,camiseta,valor_mercado_eur,rating,goles,asistencias,minutos_stats,partidos_stats,goles_p90,xG_p90,tiros_p90,tiros_a_puerta_p90,asistencias_p90,xA_p90,chances_creadas_p90,grandes_chances_p90,pases_precisos_p90,pases_largos_p90,duelos_tierra_ganados_p90,recuperaciones_campo_rival_p90,entradas_p90,intercepciones_p90,despejes_p90,tiros_bloqueados_p90,faltas_cometidas_p90,tarjetas_amarillas_p90,tarjetas_rojas_p90,paradas_p90,porcentaje_paradas_p90,goles_evitados_p90,goles_recibidos_p90,porterias_cero_p90,penales_ganados_p90
1432268,André Alcaráz,Mazatlan FC,1170234,GK,26,Mexico,MEX,185.0,13.0,413926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191818,Ricardo Rodríguez,Mazatlan FC,1170234,GK,25,Mexico,MEX,182.0,33.0,120000,6.89,,,1080.0,12.0,,,,,,0.0,,,18.6,,,,0.3,,1.4,,,0.083,,4.8,71.3,-2.8,1.9,0.083,
1531522,Ramiro Franco,Mazatlan FC,1170234,CB,22,Mexico,MEX,192.0,3.0,784077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861893,Jair Díaz,Mazatlan FC,1170234,"CB,LB",27,Mexico,MEX,180.0,4.0,686884,6.12,,1.0,824.0,10.0,,0.08,1.0,0.2,0.109,0.01,1.0,1.0,26.7,3.2,0.1,,2.0,0.8,3.7,0.8,1.5,0.437,,,,,,,
995062,Facundo Almada,Mazatlan FC,1170234,CB,27,Argentina,ARG,,5.0,1358769,6.75,3.0,1.0,1080.0,12.0,0.25,0.13,0.9,0.5,0.083,0.03,2.0,2.0,27.8,5.0,0.3,0.2,1.3,1.1,5.6,1.3,1.1,0.083,,,,,,,
1233487,Salvador Rodriguez,Mazatlan FC,1170234,LWB,24,Mexico,MEX,178.0,12.0,492566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327395,Mauro Zaleta,Mazatlan FC,1170234,"LM,LWB,LB",23,Mexico,MEX,174.0,14.0,60000,6.86,1.0,1.0,905.0,12.0,0.1,0.1,1.1,0.6,0.099,0.11,15.0,2.0,23.8,1.8,0.8,0.4,1.3,1.1,2.1,0.2,0.6,0.099,,,,,,,
729085,Lucas Merolla,Mazatlan FC,1170234,CB,30,Argentina,ARG,193.0,19.0,1208367,6.83,,,765.0,10.0,,0.02,0.6,0.1,,0.01,2.0,,24.5,1.3,0.1,,2.1,2.4,6.5,1.3,2.0,0.353,,,,,,,
643756,Mauro Laínez,Mazatlan FC,1170234,"LM,LB",29,Mexico,MEX,179.0,20.0,384772,6.39,,1.0,222.0,10.0,,,,,0.405,0.08,3.0,1.0,21.5,0.4,,,2.8,0.4,4.5,0.4,0.4,,,,,,,,
1433093,Sebastián Santos,Mazatlan FC,1170234,"RB,RWB",23,Mexico,MEX,183.0,21.0,1582290,6.99,,1.0,705.0,8.0,,0.07,1.3,0.4,0.128,0.14,11.0,1.0,19.4,1.3,0.6,0.4,2.4,1.1,2.7,,1.9,0.383,0.128,,,,,,
1295524,Alberto Herrera,Mazatlan FC,1170234,LWB,25,Mexico,MEX,174.0,22.0,564054,,,,10.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1707538,Ángel Leyva,Mazatlan FC,1170234,CB,19,Mexico,MEX,,26.0,25000,,,,305.0,5.0,,,,,,,,,,,,,,,,,,0.295,,,,,,,
1722600,Christopher Castro,Mazatlan FC,1170234,CB,20,Mexico,MEX,182.0,32.0,15000,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1783542,Iván González,Mazatlan FC,1170234,"RWB,RM,RB",19,Mexico,MEX,,199.0,1149997,,,1.0,219.0,4.0,,,,,0.411,,1.0,,,,,,,,,,,0.411,,,,,,,
964454,Jorge García,Mazatlan FC,1170234,"CAM,RB",24,Mexico,MEX,165.0,2.0,456943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428525,Sebastián Fierro,Mazatlan FC,1170234,"CM,CDM",24,Mexico,MEX,175.0,8.0,600130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823438,Billy Arce,Mazatlan FC,1170234,"LW,CAM",27,Ecuador,ECU,178.0,9.0,450000,,,,69.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1432127,Omar Moreno,Mazatlan FC,1170234,"LW,RM,LM,CAM,CM",21,Mexico,MEX,178.0,10.0,1174875,6.54,,,460.0,7.0,,0.2,2.9,1.4,,0.03,3.0,,10.6,,1.6,0.4,1.2,0.8,0.6,,1.0,,,,,,,,
526710,Yoel Bárcenas,Mazatlan FC,1170234,"CM,RM,RW,CDM,CAM,LM",32,Panama,PAN,175.0,11.0,727065,7.3,2.0,1.0,1073.0,12.0,0.17,0.05,1.0,0.6,0.084,0.14,23.0,3.0,30.3,1.8,0.8,0.4,1.7,0.4,1.3,0.3,0.9,0.168,,,,,,,
766570,José Esquivel,Mazatlan FC,1170234,"CM,CDM,CB",28,Mexico,MEX,177.0,16.0,727756,,,,178.0,5.0,,,,,,,,,,,,,,,,,,0.506,,,,,,,
1655070,Josué Ovalle,Mazatlan FC,1170234,CAM,25,Chile,CHI,167.0,17.0,83984,7.05,4.0,,424.0,7.0,0.85,0.76,2.3,1.1,,0.02,2.0,,19.7,0.6,1.5,0.6,0.6,1.1,0.4,0.4,0.8,0.212,,,,,,,
1053696,Alan Torres,Mazatlan FC,1170234,CM,26,Mexico,MEX,,18.0,1019300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730303,Jordan Sierra,Mazatlan FC,1170234,"CM,CDM",28,Ecuador,ECU,170.0,23.0,1675906,,1.0,,436.0,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,
1608169,Said Godínez,Mazatlan FC,1170234,"CM,CDM",21,Mexico,MEX,176.0,25.0,20000,6.74,,,662.0,9.0,,0.01,0.4,,,0.01,4.0,,27.1,1.2,0.8,0.3,2.0,0.5,1.4,0.5,0.4,0.136,,,,,,,
1463168,Gilberto Adame,Mazatlan FC,1170234,RWB,21,Mexico,MEX,,27.0,646871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408291,Ángel Saavedra,Mazatlan FC,1170234,CM,22,Mexico,MEX,172.0,31.0,487871,6.3,,,278.0,8.0,,0.01,0.6,,,0.03,,,21.4,0.3,1.6,0.3,1.6,1.3,,,1.3,,,,,,,,
1252093,Dudu Teodora,Mazatlan FC,1170234,"RW,ST,CAM,LM",26,Brazil,BRA,179.0,7.0,542423,6.56,1.0,1.0,856.0,12.0,0.11,0.18,1.4,0.7,0.105,0.08,6.0,1.0,12.9,0.1,1.2,0.7,0.4,0.1,0.1,,0.6,0.105,,,,,,,
923559,Brian Rubio,Mazatlan FC,1170234,ST,29,Mexico,MEX,186.0,15.0,278360,6.63,2.0,,712.0,10.0,0.25,0.2,1.5,0.5,,0.02,6.0,,16.6,1.0,0.9,0.5,1.0,0.1,0.9,0.1,2.7,0.379,,,,,,,
1306880,Jesús Hernández,Mazatlan FC,1170234,"ST,LW,CAM",24,Mexico,MEX,,28.0,1400000,6.41,,,240.0,7.0,,0.05,0.8,,,0.13,2.0,,27.0,1.9,2.6,1.5,1.9,0.4,0.8,,1.1,,,,,,,,
1033153,Fábio Gomes,Mazatlan FC,1170234,ST,28,Brazil,BRA,,90.0,612342,,,,228.0,5.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
1380588,Gabriel López,Mazatlan FC,1170234,,23,Mexico,MEX,168.0,193.0,90000,,,1.0,56.0,7.0,,,,,1.607,,1.0,1.0,,,,,,,,,,,,,,,,,
1451318,Anwar Ben Rhouma,Mazatlan FC,1170234,,20,USA,USA,,202.0,100000,,,,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1919168,Leonardo Chavez,Mazatlan FC,1170234,,20,Mexico,MEX,,208.0,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887564,Jaime Estrada,Mazatlan FC,1170234,,18,Mexico,MEX,,235.0,15000,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
324432,José Antonio Rodriguez,Tijuana,162418,GK,33,Mexico,MEX,186.0,2.0,448040,7.05,,,1080.0,12.0,,,,,,0.0,,,29.7,,,,,,0.8,,,0.167,,3.6,75.4,1.3,1.2,0.25,
1432285,Jorge Hernández,Tijuana,162418,GK,27,Mexico,MEX,191.0,29.0,398833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169764,Rafael Fernández,Tijuana,162418,"RB,CB",25,Mexico,MEX,183.0,3.0,1300000,6.69,,,1051.0,12.0,,0.01,0.2,,,0.03,6.0,,32.8,3.2,0.3,0.1,2.4,1.1,2.4,0.3,1.7,0.257,,,,,,,
616540,Unai Bilbao,Tijuana,162418,CB,32,Spain,ESP,192.0,4.0,1618342,7.16,1.0,,1080.0,12.0,0.08,0.04,0.7,0.3,,0.01,2.0,,48.0,4.8,0.1,0.1,1.5,2.2,6.4,0.8,1.3,0.25,,,,,,,
1010407,Alejandro Gómez,Tijuana,162418,"CB,CM,LB,RM,CDM",24,Mexico,MEX,183.0,6.0,2003357,6.64,1.0,,462.0,11.0,0.19,0.08,0.8,0.4,,0.02,,,20.8,1.6,0.4,,2.7,1.8,2.9,0.6,0.8,0.195,,,,,,,
1032039,Jackson Porozo,Tijuana,162418,"CB,LB",25,Ecuador,ECU,191.0,12.0,2286678,6.9,,,959.0,11.0,,0.02,0.4,0.1,,0.01,2.0,,40.2,1.6,,,1.8,1.6,5.5,0.6,0.9,0.188,0.094,,,,,,
1225758,Alan Vega,Tijuana,162418,"LB,RB",26,Mexico,MEX,172.0,16.0,797295,6.74,,,696.0,11.0,,0.02,0.8,0.1,,0.07,8.0,,26.5,2.1,,0.3,2.6,0.5,2.7,0.4,0.1,,,,,,,,
896548,Óscar Manzanárez,Tijuana,162418,"CB,RB",30,Mexico,MEX,180.0,25.0,434665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
