fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2021-08-13,bundesliga,Bundesliga,Germany,2021/2022,M'gladbach,Bayern Munich,1,1,4.73,4.39,1.71,1.4,3.0
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Augsburg,Hoffenheim,0,4,3.2,3.83,2.23,1.61,2.3
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Bielefeld,Freiburg,0,0,3.04,3.33,2.54,2.05,1.88
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Stuttgart,Greuther Furth,5,1,1.9,3.93,4.13,1.61,2.3
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Union Berlin,Leverkusen,1,1,2.83,3.44,2.65,1.9,1.9
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Wolfsburg,Bochum,1,0,1.59,4.41,5.92,1.57,2.37
2021-08-14,bundesliga,Bundesliga,Germany,2021/2022,Dortmund,Ein Frankfurt,5,2,1.45,5.24,6.8,1.36,3.2
2021-08-15,bundesliga,Bundesliga,Germany,2021/2022,Mainz,RB Leipzig,1,0,8.09,5.66,1.38,1.53,2.5
2021-08-15,bundesliga,Bundesliga,Germany,2021/2022,FC Koln,Hertha,3,1,2.62,3.41,2.88,2.0,1.93
2021-08-20,bundesliga,Bundesliga,Germany,2021/2022,RB Leipzig,Stuttgart,4,0,1.43,5.07,7.61,1.53,2.5
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Bochum,Mainz,2,0,2.74,3.59,2.64,1.8,2.0
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Ein Frankfurt,Augsburg,0,0,1.65,4.48,5.16,1.53,2.5
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Freiburg,Dortmund,2,1,5.67,4.73,1.57,1.5,2.62
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Greuther Furth,Bielefeld,1,1,2.62,3.5,2.82,2.0,1.8
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Hertha,Wolfsburg,1,2,3.21,3.51,2.35,1.8,2.0
2021-08-21,bundesliga,Bundesliga,Germany,2021/2022,Leverkusen,M'gladbach,4,0,2.39,3.71,3.0,1.57,2.37
2021-08-22,bundesliga,Bundesliga,Germany,2021/2022,Hoffenheim,Union Berlin,2,2,2.06,3.7,3.75,1.72,2.1
2021-08-22,bundesliga,Bundesliga,Germany,2021/2022,Bayern Munich,FC Koln,3,2,1.13,9.87,23.59,1.28,3.75
2021-08-27,bundesliga,Bundesliga,Germany,2021/2022,Dortmund,Hoffenheim,3,2,1.47,5.3,6.5,1.3,3.5
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,Augsburg,Leverkusen,1,4,5.08,3.9,1.75,1.8,2.0
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,Bielefeld,Ein Frankfurt,1,1,3.52,3.7,2.13,1.8,2.0
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,FC Koln,Bochum,2,1,1.89,3.83,4.28,1.72,2.1
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,Mainz,Greuther Furth,3,0,1.74,4.04,5.01,1.72,2.1
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,Stuttgart,Freiburg,2,3,2.28,3.54,3.32,1.72,2.1
2021-08-28,bundesliga,Bundesliga,Germany,2021/2022,Bayern Munich,Hertha,5,0,1.19,7.84,15.93,1.25,4.0
2021-08-29,bundesliga,Bundesliga,Germany,2021/2022,Union Berlin,M'gladbach,2,1,2.62,3.36,2.93,1.8,2.0
2021-08-29,bundesliga,Bundesliga,Germany,2021/2022,Wolfsburg,RB Leipzig,1,0,3.57,3.61,2.15,1.8,2.0
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,Freiburg,FC Koln,1,1,2.15,3.82,3.37,1.66,2.2
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,Greuther Furth,Wolfsburg,0,2,5.8,4.45,1.59,1.61,2.3
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,Hoffenheim,Mainz,0,2,2.06,3.91,3.54,1.57,2.37
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,Leverkusen,Dortmund,3,4,3.15,3.98,2.2,1.4,3.0
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,Union Berlin,Augsburg,0,0,1.74,4.09,4.89,1.91,1.99
2021-09-11,bundesliga,Bundesliga,Germany,2021/2022,RB Leipzig,Bayern Munich,1,4,3.08,4.05,2.22,1.44,2.75
2021-09-12,bundesliga,Bundesliga,Germany,2021/2022,Ein Frankfurt,Stuttgart,1,1,2.07,3.85,3.57,1.5,2.62
2021-09-12,bundesliga,Bundesliga,Germany,2021/2022,Bochum,Hertha,1,3,2.8,3.42,2.68,2.02,1.88
2021-09-12,bundesliga,Bundesliga,Germany,2021/2022,M'gladbach,Bielefeld,3,1,1.47,4.77,7.42,1.66,2.2
2021-09-17,bundesliga,Bundesliga,Germany,2021/2022,Hertha,Greuther Furth,2,1,1.84,3.75,4.67,1.86,2.04
2021-09-18,bundesliga,Bundesliga,Germany,2021/2022,Augsburg,M'gladbach,1,0,4.25,3.98,1.86,1.57,2.37
2021-09-18,bundesliga,Bundesliga,Germany,2021/2022,Bayern Munich,Bochum,7,0,1.07,14.35,37.07,1.16,5.0
2021-09-18,bundesliga,Bundesliga,Germany,2021/2022,Bielefeld,Hoffenheim,0,0,3.65,3.56,2.14,1.72,2.1
2021-09-18,bundesliga,Bundesliga,Germany,2021/2022,Mainz,Freiburg,0,0,2.12,3.67,3.58,1.8,2.0
2021-09-18,bundesliga,Bundesliga,Germany,2021/2022,FC Koln,RB Leipzig,1,1,4.5,3.98,1.82,1.57,2.37
2021-09-19,bundesliga,Bundesliga,Germany,2021/2022,Stuttgart,Leverkusen,1,3,3.29,3.82,2.19,1.53,2.5
2021-09-19,bundesliga,Bundesliga,Germany,2021/2022,Dortmund,Union Berlin,4,2,1.38,5.41,8.51,1.44,2.75
2021-09-19,bundesliga,Bundesliga,Germany,2021/2022,Wolfsburg,Ein Frankfurt,1,1,1.85,3.83,4.47,1.72,2.1
2021-09-24,bundesliga,Bundesliga,Germany,2021/2022,Greuther Furth,Bayern Munich,1,3,22.47,13.33,1.11,1.14,5.5
